iter	Passed	Remaining
0	6	690
1	8	436
2	11	386
3	16	394
4	19	373
5	23	360
6	30	404
7	35	410
8	38	385
9	42	379
10	46	374
11	52	384
12	56	377
13	60	371
14	69	396
15	73	385
16	77	375
17	80	366
18	82	352
19	85	340
20	88	334
21	97	344
22	107	358
23	116	368
24	131	394
25	143	408
26	159	431
27	170	437
28	174	426
29	185	433
30	194	433
31	197	420
32	202	410
33	210	407
34	212	395
35	217	387
36	224	382
37	227	371
38	231	361
39	241	362
40	245	353
41	248	342
42	257	341
43	261	333
44	270	330
45	283	332
46	303	341
47	322	349
48	337	351
49	356	356
50	429	412
51	433	400
52	437	387
53	445	379
54	448	367
55	452	355
56	460	347
57	464	336
58	466	324
59	471	314
60	475	304
61	479	293
62	482	283
63	487	274
64	489	263
65	494	254
66	498	245
67	503	236
68	507	227
69	510	218
70	511	208
71	526	204
72	529	195
73	535	188
74	538	179
75	542	171
76	546	163
77	552	155
78	553	147
79	557	139
80	563	132
81	570	125
82	573	117
83	579	110
84	587	103
85	597	97
86	601	89
87	607	82
88	613	75
89	615	68
90	618	61
91	625	54
92	629	47
93	645	41
94	674	35
95	685	28
96	689	21
97	693	14
98	698	7
99	703	0
